ANIO_REPORT,DPA_PROVIN,PROVINCIA,DPA_CANTON,CANTON,DPA_PARROQ,PARROQUIA,EVENTO,CAT_EVENTO,ALERTA_FECHA,MES,NIVEL_INF,CALIF_EVEN,CAT_CRUCE,NAM,AREA_HA
2022,17,PICHINCHA,1701,QUITO,170175,PIFO,INCENDIO FORESTAL,Antropico,9/19/2021,9,Nivel 1,Nivel 1,aph,PONCE PALUGUILLO,10
2022,17,PICHINCHA,1701,QUITO,170175,PIFO,INCENDIO FORESTAL,Antropico,9/10/2021,9,Nivel 1,Nivel 1,aph,PONCE PALUGUILLO,100
2022,17,PICHINCHA,1701,QUITO,170175,PIFO,INCENDIO FORESTAL,Antropico,9/24/2021,9,Nivel 1,Nivel 1,aph,PONCE PALUGUILLO,10
2022,17,PICHINCHA,1702,CAYAMBE,170252,CANGAHUA,INCENDIO FORESTAL,Antropico,9/23/2021,9,Nivel 2,Nivel 2,aph,KAYAMBI,20
2022,11,LOJA,1101,LOJA,110151,CHANTACO,INCENDIO FORESTAL,Antropico,9/14/2021,9,Nivel 3,Nivel 1,bvp,CUENCA DEL RIO MALACATOS EN LOJA,140
2022,7,EL ORO,705,CHILLA,70550,CHILLA,INCENDIO FORESTAL,Epoca seca,8/27/2021,8,Nivel 3,Nivel 2,bvp,CASACAY,140
2022,1,AZUAY,106,PUCARA,10650,PUCARA,INCENDIO FORESTAL,Antropico,9/27/2021,9,Nivel 2,Nivel 1,bvp,UZCHURRUMI,
2022,1,AZUAY,104,NABON,10450,NABON,INCENDIO FORESTAL,Antropico,8/5/2021,8,Nivel 2,Nivel 1,bvp,SUBCUENCA ALTA DEL RIO LEON Y MICROCUENCAS DE LOS RIOS SAN FELIPE DE ONA Y SHINCATA,20
2022,1,AZUAY,104,NABON,10450,NABON,INCENDIO FORESTAL,Antropico,7/5/2021,7,Nivel 1,Nivel 1,bvp,SUBCUENCA ALTA DEL RIO LEON Y MICROCUENCAS DE LOS RIOS SAN FELIPE DE ONA Y SHINCATA,10
2022,1,AZUAY,106,PUCARA,10650,PUCARA,INCENDIO FORESTAL,Antropico,11/19/2021,11,Nivel 2,Nivel 1,bvp,UZCHURRUMI,
2022,1,AZUAY,106,PUCARA,10652,SAN RAFAEL DE SHARUG,INCENDIO FORESTAL,Antropico,9/20/2021,9,Nivel 1,Nivel 1,bvp,UZCHURRUMI,
2022,1,AZUAY,106,PUCARA,10650,PUCARA,INCENDIO FORESTAL,Antropico,8/5/2021,8,Nivel 3,Nivel 1,bvp,UZCHURRUMI,
2022,1,AZUAY,102,GIRON,10250,GIRON,INCENDIO FORESTAL,Antropico,8/5/2021,8,Nivel 3,Nivel 1,bvp,CHORRO,200
2022,1,AZUAY,101,CUENCA,10171,VICTORIA DEL PORTETE (IRQUIS),INCENDIO FORESTAL,Antropico,12/27/2021,12,Nivel 2,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,1,AZUAY,101,CUENCA,10171,VICTORIA DEL PORTETE (IRQUIS),INCENDIO FORESTAL,Antropico,12/28/2021,12,Nivel 3,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,1,AZUAY,103,GUALACEO,10352,DANIEL CORDOVA TORAL (EL ORIENTE),INCENDIO FORESTAL,Antropico,8/26/2021,8,Nivel 1,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,1,AZUAY,101,CUENCA,10155,CHIQUINTAD,INCENDIO FORESTAL,Antropico,2/13/2021,2,Nivel 3,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,1,AZUAY,101,CUENCA,10157,MOLLETURO,INCENDIO FORESTAL,Antropico,7/30/2021,7,Nivel 2,Nivel 1,bvp,MOLLETURO Y MOLLEPUNGO,20
2022,1,AZUAY,101,CUENCA,10154,CHECA (JIDCAY),INCENDIO FORESTAL,Antropico,4/11/2021,4,Nivel 3,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,3,CAÑAR,302,BIBLIAN,30254,JERUSALEN,INCENDIO FORESTAL,Antropico,8/29/2021,8,Nivel 1,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,3,CAÑAR,302,BIBLIAN,30250,BIBLIAN,INCENDIO FORESTAL,Antropico,10/14/2021,10,Nivel 2,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,3,CAÑAR,301,AZOGUES,30156,PINDILIG,INCENDIO FORESTAL,Antropico,9/4/2021,9,Nivel 3,Nivel 1,bvp,15 AREAS DEL INTERIOR DE LA CUENCA DEL RIO PAUTE,15
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,7/7/2021,7,Nivel 1,Nivel 1,bvp,CERRO EL PARAISO,10
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,10/1/2021,10,Nivel 1,Nivel 1,bvp,CERRO BLANCO,10
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,10/29/2021,10,Nivel 1,Nivel 1,bvp,PAPAGAYO DE GUAYAQUIL,10
2022,18,TUNGURAHUA,1801,AMBATO,180165,SANTA ROSA,INCENDIO FORESTAL,Antropico,2/14/2021,2,Nivel 2,Nivel 1,bvp,CERRO CASIGANA,80
2022,17,PICHINCHA,1701,QUITO,170111,GUAMANI,INCENDIO FORESTAL,Antropico,8/9/2021,8,Nivel 3,Nivel 3,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,270
2022,17,PICHINCHA,1701,QUITO,170156,CONOCOTO,INCENDIO FORESTAL,Antropico,9/28/2021,9,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170162,GUANGOPOLO,INCENDIO FORESTAL,Antropico,8/5/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170162,GUANGOPOLO,INCENDIO FORESTAL,Antropico,7/31/2021,7,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170162,GUANGOPOLO,INCENDIO FORESTAL,Antropico,6/29/2021,6,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170156,CONOCOTO,INCENDIO FORESTAL,Antropico,9/25/2021,9,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170184,TUMBACO,INCENDIO FORESTAL,Antropico,8/4/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170166,LLOA,INCENDIO FORESTAL,Antropico,9/27/2021,9,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170166,LLOA,INCENDIO FORESTAL,Antropico,8/7/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170157,CUMBAYA,INCENDIO FORESTAL,Antropico,9/18/2021,9,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170130,SAN JUAN,INCENDIO FORESTAL,Antropico,8/23/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170113,ITCHIMBIA,INCENDIO FORESTAL,Antropico,8/18/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170113,ITCHIMBIA,INCENDIO FORESTAL,Epoca seca,7/23/2021,7,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170186,ZAMBIZA,INCENDIO FORESTAL,Antropico,7/20/2021,7,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170165,LLANO CHICO,INCENDIO FORESTAL,Antropico,8/5/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,17,PICHINCHA,1701,QUITO,170104,COCHAPAMBA,INCENDIO FORESTAL,Antropico,8/3/2021,8,Nivel 1,Nivel 1,bvp,FLANCO ORIENTAL DE PICHINCHA Y CINTURON VERDE DE QUITO,10
2022,10,IMBABURA,1001,IBARRA,100104,SAN FRANCISCO,INCENDIO FORESTAL,Antropico,7/28/2021,7,Nivel 1,Nivel 1,bvp,LOMA DE GUAYABILLAS,10
2022,4,CARCHI,405,MONTUFAR,40550,SAN GABRIEL,INCENDIO FORESTAL,Antropico,10/9/2021,10,Nivel 2,Nivel 1,bvp,EL HONDON,20
2022,7,EL ORO,702,ARENILLAS,70251,CHACRAS,INCENDIO FORESTAL,Antropico,11/11/2021,11,Nivel 3,Nivel 1,snap,ARENILLAS,200
2022,1,AZUAY,101,CUENCA,10165,SAYAUSI,INCENDIO FORESTAL,Antropico,7/6/2021,7,Nivel 3,Nivel 1,snap,CAJAS,100
2022,9,GUAYAS,901,GUAYAQUIL,90115,PASCUALES,INCENDIO FORESTAL,Antropico,11/24/2021,11,Nivel 1,Nivel 1,snap,MANGLARES EL SALADO,10
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,9/23/2021,9,Nivel 1,Nivel 1,snap,MANGLARES EL SALADO,10
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,10/4/2021,10,Nivel 1,Nivel 1,snap,MANGLARES EL SALADO,10
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,9/10/2021,9,Nivel 2,Nivel 1,snap,MANGLARES EL SALADO,20
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,12/2/2021,12,Nivel 1,Nivel 1,snap,LOS SAMANES,10
2022,9,GUAYAS,901,GUAYAQUIL,90115,PASCUALES,INCENDIO FORESTAL,Antropico,10/16/2021,10,Nivel 2,Nivel 1,snap,LOS SAMANES,40
2022,9,GUAYAS,901,GUAYAQUIL,90112,TARQUI,INCENDIO FORESTAL,Antropico,10/13/2021,10,Nivel 1,Nivel 1,snap,LOS SAMANES,10
2022,9,GUAYAS,901,GUAYAQUIL,90115,PASCUALES,INCENDIO FORESTAL,Antropico,9/4/2021,9,Nivel 1,Nivel 1,snap,LOS SAMANES,10
2022,9,GUAYAS,901,GUAYAQUIL,90115,PASCUALES,INCENDIO FORESTAL,Antropico,9/9/2021,9,Nivel 2,Nivel 1,snap,LOS SAMANES,20
2022,9,GUAYAS,901,GUAYAQUIL,90115,PASCUALES,INCENDIO FORESTAL,Antropico,12/6/2021,12,Nivel 3,Nivel 1,snap,LOS SAMANES,510
2022,18,TUNGURAHUA,1804,MOCHA,180450,MOCHA,INCENDIO FORESTAL,Antropico,10/22/2021,10,Nivel 1,Nivel 1,snap,CHIMBORAZO,10
2022,18,TUNGURAHUA,1808,SANTIAGO DE PILLARO,180856,SAN JOSE ,INCENDIO FORESTAL,Antropico,11/16/2021,11,Nivel 3,Nivel 1,snap,LLANGANATES,1230
2022,5,COTOPAXI,505,SALCEDO,50550,SAN MIGUEL,INCENDIO FORESTAL,Antropico,8/6/2021,8,Nivel 1,Nivel 1,snap,LLANGANATES,10
2022,5,COTOPAXI,505,SALCEDO,50550,SAN MIGUEL,INCENDIO FORESTAL,Antropico,12/24/2021,12,Nivel 3,Nivel 1,snap,LLANGANATES,1500
2022,17,PICHINCHA,1702,CAYAMBE,170202,CAYAMBE,INCENDIO FORESTAL,Antropico,11/15/2021,11,Nivel 3,Nivel 2,snap,CAYAMBE COCA,100
2022,4,CARCHI,401,TULCAN,40157,TUFINO,INCENDIO FORESTAL,Antropico,9/3/2021,9,Nivel 3,Nivel 1,snap,EL ANGEL,750
2022,4,CARCHI,401,TULCAN,40157,TUFINO,INCENDIO FORESTAL,Antropico,9/3/2021,9,Nivel 3,Nivel 1,psb,MAE-PSB-I-2012-C-007,750
